,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
YOA_2022,623,6107,737,BBR Services (exc PE),Delegated,USD,Gross Net Premium,0,0,0,0,0,0,0,0,0,0,0,"-91,473"
YOA_2022,623,6107,737,BBR Services (exc PE),Delegated,USD,Gross Gross Premium,0,0,0,0,0,0,0,0,0,0,0,"-91,473"
YOA_2022,623,6107,737,BBR Services (exc PE),Open Market,GBP,Gross Net Premium,0,0,0,0,0,0,0,-10,0,-341,0,0
YOA_2022,623,6107,737,BBR Services (exc PE),Open Market,GBP,External Brokerage,0,0,0,0,0,0,0,2,0,77,0,0
YOA_2022,623,6107,737,BBR Services (exc PE),Open Market,GBP,Gross Gross Premium,0,0,0,0,0,0,0,-13,0,-418,0,0
YOA_2022,623,6107,737,BBR Services (exc PE),Open Market,USD,Gross Net Premium,"-17,072","-6,180","-6,426","-3,970","-12,830","-4,871","-48,702","-8,470","-11,345","-15,419","-7,100","90,697"
YOA_2022,623,6107,737,BBR Services (exc PE),Open Market,USD,External Brokerage,"3,846","1,392","1,448",894,"2,890","1,097","10,972","1,908","2,556","3,474","1,600","-20,433"
YOA_2022,623,6107,737,BBR Services (exc PE),Open Market,USD,Gross Gross Premium,"-20,918","-7,572","-7,874","-4,864","-15,720","-5,969","-59,674","-10,378","-13,901","-18,893","-8,699","111,130"
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Delegated,GBP,Gross Net Premium,0,0,0,0,0,-141,0,0,0,0,0,894
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Delegated,GBP,External Brokerage,0,0,0,0,0,65,0,0,0,0,0,-415
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Delegated,GBP,Gross Gross Premium,0,0,0,0,0,-206,0,0,0,0,0,"1,309"
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Delegated,EUR,Gross Net Premium,-449,0,0,0,-368,-355,0,0,0,0,0,0
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Delegated,EUR,External Brokerage,208,0,0,0,170,165,0,0,0,0,0,0
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Delegated,EUR,Gross Gross Premium,-657,0,0,0,-538,-520,0,0,0,0,0,0
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Delegated,USD,Gross Net Premium,"-20,184",0,0,"-1,609",0,0,0,0,0,0,-619,0
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Delegated,USD,External Brokerage,"9,358",0,0,746,0,0,0,0,0,0,287,0
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Delegated,USD,Gross Gross Premium,"-29,542",0,0,"-2,355",0,0,0,0,0,0,-906,0
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,GBP,Gross Net Premium,-267,-207,-963,"-1,201","-1,855","-1,151","-1,962",-754,-511,"-1,714",-649,"3,314"
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,GBP,External Brokerage,23,18,85,106,163,101,172,66,45,151,57,-291
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,GBP,Gross Gross Premium,-291,-225,"-1,048","-1,307","-2,018","-1,252","-2,134",-820,-556,"-1,865",-706,"3,605"
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,EUR,Gross Net Premium,-118,0,0,-260,-662,0,"-1,192",0,-621,-506,-204,"-1,149"
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,EUR,External Brokerage,10,0,0,23,58,0,105,0,55,44,18,101
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,EUR,Gross Gross Premium,-129,0,0,-282,-720,0,"-1,297",0,-675,-550,-222,"-1,250"
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,CAD,Gross Net Premium,"-1,254",-435,-420,"-2,454","-10,581","-3,033","-5,433","-2,374","-3,164","-2,746","-1,642","-1,990"
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,CAD,External Brokerage,110,38,37,216,929,266,477,209,278,241,144,175
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,CAD,Gross Gross Premium,"-1,364",-474,-457,"-2,670","-11,510","-3,299","-5,911","-2,583","-3,442","-2,987","-1,787","-2,165"
YOA_2022,623,6107,742,BBR Services Int (Exc PE),Open Market,USD,Gross Net Premium,"-2,096",-219,-87,-195,-710,0,-948,-9,-371,-375,"-3,970","-3,125"
